Index,Layer,Text,X,Y,Z
63,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-63.252186,-56.971811,0.000000
64,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-63.247835,-56.791365,0.000000
65,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-63.252186,-56.971811,0.000000
66,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-60.304922,-56.768403,0.000000
67,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-62.493015,-59.575090,0.000000
68,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-62.691974,-53.871124,0.000000
69,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-50.000000,-32.164963,0.000000
70,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-50.180446,-32.160614,0.000000
71,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-50.000000,-32.164963,0.000000
72,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-50.203412,-29.217700,0.000000
73,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-47.396723,-31.405789,0.000000
74,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-53.100688,-31.604756,0.000000
75,LWK-TXT,FIREMAN'S LIFT LOBBY,-38.600445,-49.632212,0.000000
76,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-50.585059,-38.631890,0.000000
77,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-50.580709,-38.812336,0.000000
78,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-50.585059,-38.631890,0.000000
79,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-47.637795,-38.835302,0.000000
80,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-49.825884,-36.028613,0.000000
81,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-50.024851,-41.732578,0.000000
82,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-44.318654,-38.631890,0.000000
83,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-44.314304,-38.812336,0.000000
84,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-44.318654,-38.631890,0.000000
85,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-41.371391,-38.835302,0.000000
86,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-43.559480,-36.028613,0.000000
87,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-43.758447,-41.732578,0.000000
88,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH850.0,-26.316719,-55.369666,0.000000
89,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-26.136273,-55.374016,0.000000
90,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-26.316719,-55.369666,0.000000
91,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-26.113307,-58.316929,0.000000
92,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-28.919996,-56.128840,0.000000
93,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-23.216031,-55.929873,0.000000
94,LWK-TXT,PARKING INFORMATION ROOM,-40.593118,-26.765471,0.000000
95,LWK-TXT,EV CHARGER ROOM,-30.575140,-58.862042,0.000000
96,LWK-TXT,SHUTTLE LIFT LOBBY,-56.007540,-57.496667,0.000000
97,0,EVMC,-174.541517,-1.783086,0.000000
98,0,EVMC,-171.454447,-1.353633,0.000000
99,0,EVMC,-171.454447,-1.353633,0.000000
100,0,EVMC,-166.417649,-0.652946,0.000000
101,0,EVMC,-163.330579,-0.223493,0.000000
102,0,EVMC,-163.330579,-0.223493,0.000000
103,0,EVMC,-158.293782,0.477194,0.000000
104,0,EVMC,-155.206712,0.906647,0.000000
105,0,EVMC,-155.206712,0.906647,0.000000
106,0,EVMC,-142.695956,2.647063,0.000000
107,0,EVMC,-139.608886,3.076516,0.000000
108,0,EVMC,-139.608886,3.076516,0.000000
109,0,EVMC,-134.572088,3.777203,0.000000
110,0,EVMC,-131.485019,4.206656,0.000000
111,0,EVMC,-131.485019,4.206656,0.000000
112,0,EVMC,-126.448221,4.907343,0.000000
113,0,EVMC,-123.361151,5.336796,0.000000
114,0,EVMC,-123.361151,5.336796,0.000000
115,0,EVMC,-108.494855,7.404900,0.000000
116,0,EVMC,-105.407785,7.834353,0.000000
117,0,EVMC,-105.407785,7.834353,0.000000
118,0,EVMC,-100.370988,8.535040,0.000000
119,0,EVMC,-97.283918,8.964493,0.000000
120,0,EVMC,-97.283918,8.964493,0.000000
121,0,EVMC,-92.247120,9.665180,0.000000
122,0,EVMC,-89.160050,10.094633,0.000000
123,0,EVMC,-89.160050,10.094633,0.000000
124,0,EVMC,-81.361138,11.179568,0.000000
125,0,EVMC,-78.274068,11.609021,0.000000
126,0,EVMC,-78.274068,11.609021,0.000000
127,0,EVMC,-73.237270,12.309708,0.000000
128,0,EVMC,-70.150200,12.739161,0.000000
129,0,EVMC,-70.150200,12.739161,0.000000
130,0,EVMC,-65.113403,13.439848,0.000000
131,0,EVMC,-62.026333,13.869301,0.000000
132,0,EVMC,-62.026333,13.869301,0.000000
133,LWK-TXT,FAN ROOM,-233.684475,-15.574930,0.000000
134,0,EVMC,-141.288251,-50.331860,0.000000
135,0,EVMC,-138.201181,-49.902407,0.000000
136,0,EVMC,-138.201181,-49.902407,0.000000
137,0,EVMC,-133.164383,-49.201720,0.000000
