Index,Layer,Text,X,Y,Z
249,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-185.589312,-22.951547,0.000000
250,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH800.0,-38.156168,6.388891,0.000000
251,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-37.975722,6.393241,0.000000
252,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-38.156168,6.388891,0.000000
253,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-37.952756,9.336155,0.000000
254,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-40.759445,7.148066,0.000000
255,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-35.055480,6.949099,0.000000
256,LWK-SER-SVD-HIGH LEV,"SVD 
B2-04",-74.904490,-91.167540,0.000000
257,LWK-SER-SVD-HIGH LEV,"SVD
B2-01",-243.593769,-11.053153,0.000000
258,LWK-SER-SVD-HIGH LEV,"SVD 
B2-03",-47.066093,-23.747874,0.000000
259,LWK-SER-SVD-HIGH LEV,"SVD 
B2-03",-47.066093,-23.747874,0.000000
260,LWK-SER-SVD-HIGH LEV,"SVD 
B2-05",-118.953444,-53.571612,0.000000
261,LWK-SER-SVD-HIGH LEV,"SVD
B2-02",-192.272809,-2.919981,0.000000
262,LWK-SER-SVD-HIGH LEV,"SVD
B2-06",-198.067279,-69.726321,0.000000
263,LWK-SER-SVD-HIGH LEV,"SVD 
B2-03",-51.854752,-11.303456,0.000000
264,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-213.166257,-20.383393,0.000000
265,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-212.988132,-20.354222,0.000000
266,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-213.166257,-20.383393,0.000000
267,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-213.370879,-17.436214,0.000000
268,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-215.849309,-19.990157,0.000000
269,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-210.172333,-19.401296,0.000000
270,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-217.171553,-20.681135,0.000000
